source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,parallax_over_error,phot_bp_mean_mag,phot_rp_mean_mag
138802176093946112,45.677151904202866,35.649329806973086,1.7723009841563173,0.5662956881939096,5.137541361351347,19.677273,2.5796185,4.177964,20.865784,18.286165
138819768283500288,46.21388657345944,35.83378699089184,0.9019690284643658,2.7347375727501095,-3.714053745564922,20.097198,1.5183563,1.4532862,20.838144,19.319788
138819841294012160,46.241647398850304,35.849683744324246,0.9511327501886417,10.287363429726147,-12.902642347951648,14.900744,1.227849,30.749062,15.430888,14.203039
138823582209186816,45.890717273661544,35.685676138325036,0.4478645263356495,6.420868540543003,-1.7835936244775834,17.596899,1.4402351,3.0426686,18.265806,16.825571
138824303763772672,45.96613933573207,35.76889071352395,-0.04941036661650239,-1.1475171820300696,-0.06713729556244992,18.699762,1.6142349,-0.21516256,19.430677,17.816442
138824754737009536,45.786821732810246,35.64578030027963,,,,20.123905,1.9327106,,17.712502,15.779791
138825098333800832,45.83796561527461,35.687977187930905,1.6027870233411146,-7.454595059915288,-3.311677204121515,17.471272,,10.046072,,
138825231476623744,45.804337451112964,35.684217391946994,-0.11859013336547194,0.12720140881678008,-0.8039854196108066,20.458738,1.4095459,-0.11717395,21.043064,19.633518
138825712512955648,45.726974189205535,35.68113891770649,1.5724874026996654,-2.3192541071634865,-1.753003783216116,19.971113,2.425335,3.1276896,21.250235,18.8249
138825815592192000,45.72919658563914,35.7027669054434,1.6191585925895657,6.966761010443495,-1.1633718181959711,20.701948,1.3198509,1.0115771,20.793785,19.473934
138826159189602560,45.82734651143441,35.72847163113726,0.5984847427121225,6.393067540950964,-1.9541459236816694,19.481224,2.0198727,1.3164654,20.459282,18.43941
138826197845414528,45.796207952557495,35.736612308057644,0.21718462066633695,-1.0040353237252595,-0.3153790571688372,18.980543,1.0427094,0.746735,19.393127,18.350418
138826369644105856,45.76771856129377,35.74570558798715,0.2739345004649333,0.7738319298726499,-0.6625797554706099,18.786379,1.3812103,1.136682,19.473202,18.091991
137333297277672064,45.01294548017305,35.29804581054275,0.1974510309244626,-0.8258542625588176,-0.7328699124119805,16.922853,0.8893242,2.4171455,17.2889,16.399576
137338764771167104,45.132730625681,35.33187776514459,1.232532184946921,-7.496712995193274,-6.099451817607659,13.78906,0.84264374,59.483913,14.125218,13.282575
137338799130903936,45.13995777834495,35.33920842837265,0.8541891142403956,1.3589034456378384,-2.6233498486972087,14.723242,0.9349222,28.869322,15.10575,14.170828
137339035353986176,45.071741640477484,35.30547179602992,-0.04043622339290412,0.16590206864287238,-1.8176360186980483,18.52754,0.90629196,-0.20655987,18.919376,18.013084
137339177088315136,45.02090522414869,35.30940028214197,0.3214824451666732,0.4962245075014964,-3.730646729688545,20.045942,2.0823193,0.49293637,20.978758,18.896439
137339275872176640,45.03006554172414,35.328684151634235,0.21088308824942117,0.5777708752393477,-4.437740207944528,17.819143,1.0815411,1.5560125,18.295788,17.214247
137339722550945664,45.07102231138017,35.358799523137534,,,,20.845783,1.4963741,,21.101965,19.60559
137340993858142848,45.232610783960624,35.424356653516135,1.2851844893014868,8.471878717743046,-7.896769458816072,13.106417,1.2433233,67.10029,13.655144,12.41182
137341135593103744,45.14254669063505,35.3979649027052,0.22794032998031788,0.39451924977577574,-0.698482126806673,18.441357,0.8833256,1.2920363,18.77577,17.892445
137341337458668928,45.15893403991419,35.427117554330465,0.5727822047532666,-1.3109737250142564,-1.8712936526191415,11.990896,1.3405533,30.825008,12.593304,11.25275
137341788428124928,45.196961838683194,35.4401735031862,0.07558484925413501,-1.316698418333101,-1.581742732267009,18.14061,0.8722,0.48301625,18.477543,17.605343
137341990291605632,45.147146076108164,35.458069103973926,-0.052963169992557006,1.8513652860904686,-0.9468982583035184,19.276215,1.7082119,-0.1652825,19.853333,18.14512
137345293121368832,44.92372290435528,35.32643020088245,0.19532209759936767,-0.5176596800400942,-1.4217099704145828,14.869843,1.3325748,7.2107587,15.46526,14.132685
137345396200679808,44.97039143392354,35.33838180546388,1.1146028342163268,3.683539083043917,-8.249571272424909,17.309305,1.897358,11.715398,18.248043,16.350685
137345739796810752,44.89727465756076,35.32806369667465,0.38198421053252574,1.985393339028961,-2.173132167289612,18.688587,1.0954838,1.6850182,19.040167,17.944683
137346289553481728,44.934665967665694,35.365740815885275,,,,20.978401,1.7280083,,22.186445,20.458437
137348759160023552,44.731483855887504,35.401106701021256,0.07166083013407497,9.562110597989433,-17.370783772916667,18.848953,1.0755253,0.26836848,19.249422,18.173897
137349102757382528,44.81555058684535,35.36676873700944,-0.22540759184345954,-0.10474741798002118,-4.6405482038135375,19.48206,1.3368225,-0.57244253,20.086695,18.749872
137349308915841536,44.82190918554622,35.40584433684219,0.18750493721784145,-0.1120148759430658,-1.3682816974346999,19.355694,0.7646904,0.54878324,19.608982,18.844292
137349347570274560,44.863195802814516,35.374931503182246,,,,20.72897,1.0800152,,20.860401,19.780386
137349480714528128,44.8915913751989,35.397245543821136,,,,20.959166,1.997469,,21.7628,19.765331
137349553728922368,44.88148355776678,35.414328958896434,0.6252341453487961,-0.7899088457256137,-3.6411195174046833,16.458843,1.231987,10.948223,16.979294,15.747307
137349656808516352,44.84694028847586,35.410306953019756,0.5555823553130219,0.19545401301992116,-1.308245476139475,20.262466,0.6399536,0.8597555,20.553211,19.913258
137349691167690752,44.84022279291393,35.40639366717122,,,,21.123598,0.71268845,,20.70568,19.992992
137349828606828672,44.85285484172029,35.4335788339356,1.2678784288892446,6.829194550838375,-10.791223607040244,15.464267,1.3374796,33.655117,16.06086,14.72338
137350511506702592,44.81595144977916,35.429883065733236,0.502754086032411,1.1579165745741646,-1.1421628847672123,20.29643,0.7961559,0.5983286,20.69365,19.897493
137350752024884224,44.81208439006154,35.45717038635308,1.6069046095691806,2.358084785798467,-4.987633622768932,19.897717,2.0153732,3.0486681,20.7664,18.751026
137351336140382720,44.96883925722551,35.37196378794421,0.9949442733609066,6.001382407522563,-8.123440995335255,20.752728,0.86704826,0.96150744,21.027956,20.160908
137351885896219264,45.01083391830461,35.402376250780584,3.426897066500187,83.62460264411543,-43.5367448139405,18.079243,2.89229,23.63381,19.73633,16.84404
137352263853349248,44.983348728521904,35.41371517219244,-0.08814365275007532,7.479491521962695,-5.869831763431577,19.947115,1.7080135,-0.1625776,20.829319,19.121305
137353161501444736,45.0039388070114,35.48394906789447,1.1915860204833029,9.128554803176636,-4.922381288923264,16.106808,1.3450022,25.49037,16.713198,15.368196
137354084919536000,45.10586715669093,35.501252019160056,0.928054866545188,-0.2911922937807363,-10.990534715147305,17.081781,1.4930153,11.410347,17.770847,16.277832
137354084921614080,45.102372753263595,35.50056039087189,1.8711454112868553,3.553936529917154,-3.484467547189448,20.552029,2.1562634,2.0836747,21.734701,19.578438
137354261013145344,45.1274313055911,35.535406047318936,0.3226493414618351,-1.6071776550168515,0.27073409376892354,18.87404,1.0484009,1.3279995,19.275114,18.226713
137354428516914176,45.06593426091288,35.49260215486273,-0.01604070779497277,10.623224251882169,2.0884458445592697,20.241726,1.9259167,-0.024732146,21.05204,19.126123
137354604610535680,45.029045179865975,35.49467533154786,0.390483374967457,1.3350466335534206,-0.14503910181877983,18.792898,1.3776112,1.7007182,19.405233,18.027622
137354703394831360,45.043765156056885,35.51406785096512,0.7878221867247305,0.3465458745515895,-1.7037290355756796,20.430477,0.9252987,1.0663217,20.867544,19.942245
137354840833784576,45.07819148226541,35.51223231529185,-0.744653575913092,-2.1629492755272546,0.3308672645032972,20.538887,1.3810825,-0.8710108,21.019606,19.638523
137355051287127680,45.09960070285724,35.54554805968219,,,,20.857786,1.6020699,,19.20748,17.60541
137355120006606720,45.06635908565536,35.52594203380475,0.06668183258839822,-0.6219988189322241,-0.4895841927299763,17.757614,0.8558502,0.5521564,18.08255,17.2267
137355321870138240,45.074350485377764,35.567732942720205,0.881250685079013,1.4678776461156975,-11.403896089077472,19.304857,2.4812298,2.6577837,20.571417,18.090187
137355635402610432,44.9375386981981,35.46110408104851,0.4028300018723726,0.544503612012349,-2.6851026616267872,17.844858,1.201973,3.4993339,18.394222,17.19225
137355699827211392,44.89977356877586,35.458689063924545,1.103368109515382,-2.133681667253951,-1.0621805015057852,20.43977,1.1988316,1.2638749,20.909252,19.71042
137355905985658752,44.91708996922856,35.48536891959148,-0.3632014976925484,1.29038986387633,-0.7013816416269203,19.950155,1.0427475,-0.68196785,20.312626,19.269878
137357108576520576,44.89599030455142,35.52751474710784,-0.24458752874868397,4.091856491221271,-5.902214630414392,18.537642,1.1039238,-1.3044784,19.006678,17.902754
137357967571219072,44.974421760809214,35.565338653579225,,,,20.93015,2.179718,,21.954533,19.774815
137358070649208576,44.98247027107187,35.571880109165775,-0.0536959470143037,0.5648101628767352,-1.0622527054662272,18.906284,1.0065956,-0.22101763,19.371456,18.36486
